event_id,session_id,student_id,domain,event_type,question_id,value,timestamp
evt-00033247,sess-00891,S-128,pandas_core,option_select,pd-k-merge-d2-01,A,2026-02-11 16:55:27
evt-00034596,sess-00926,S-091,sql_duckdb,answer_submit,sq-k-joins-d2-01,B,2026-03-18 20:22:06
evt-00029994,sess-00808,S-554,pandas_core,option_select,pd-a-groupby-d2-01,A,2026-01-30 20:30:05
evt-00039782,sess-01064,S-015,python_fundamentals,option_select,py-k-patterns-d2-02,C,2026-01-14 09:58:26
evt-00068017,sess-01826,S-704,pandas_core,option_select,pd-sr-confidence-groupby,C,2026-02-01 18:57:18
evt-00039848,sess-01066,S-015,sql_duckdb,answer_submit,sq-a-window-d3-01,C,2026-03-17 16:46:53
evt-00051627,sess-01384,S-788,data_viz,answer_submit,dv-sr-confidence-design,A,2026-03-06 13:23:21
evt-00017185,sess-00466,S-093,data_viz,answer_submit,dv-sr-confidence-sns,B,2026-02-24 15:20:42
evt-00054701,sess-01465,S-528,pandas_core,option_select,pd-a-groupby-d2-01,C,2026-01-30 22:13:32
evt-00019808,sess-00529,S-018,pandas_core,answer_submit,pd-a-groupby-d2-01,D,2026-02-04 13:54:34
evt-00051719,sess-01387,S-423,data_viz,answer_submit,dv-sr-confidence-mpl,A,2026-03-04 19:59:25
evt-00062718,sess-01683,S-302,data_viz,option_select,dv-a-design-d2-01,D,2026-03-06 20:28:30
evt-00058338,sess-01564,S-159,sql_duckdb,answer_submit,sq-k-select-d1-01,D,2026-03-18 20:50:28
evt-00000253,sess-00006,S-333,python_fundamentals,answer_submit,py-k-oop-d2-02,B,2026-01-20 21:19:20
evt-00040501,sess-01084,S-281,python_fundamentals,question_view,py-a-patterns-d3-01,,2026-01-11 19:36:18
evt-00016475,sess-00448,S-125,pandas_core,answer_submit,pd-k-series-d1-02,C,2026-02-11 12:11:33
evt-00015866,sess-00431,S-768,python_fundamentals,answer_submit,py-k-basics-d1-02,A,2026-01-29 12:24:12
evt-00043825,sess-01171,S-518,sql_duckdb,option_select,sq-k-window-d3-01,A,2026-03-31 08:20:11
evt-00006834,sess-00191,S-492,pandas_core,option_select,pd-k-merge-d2-01,B,2026-02-11 08:26:54
evt-00025892,sess-00699,S-071,python_fundamentals,option_select,py-sr-confidence-patterns,B,2026-01-29 19:20:10
evt-00053555,sess-01435,S-681,data_viz,answer_submit,dv-k-mpl-d1-01,B,2026-03-02 14:10:28
evt-00032490,sess-00872,S-047,python_fundamentals,question_view,py-k-ds-d2-01,,2026-01-23 18:08:45
evt-00011068,sess-00304,S-156,python_fundamentals,answer_submit,py-sr-experience-patterns,A,2026-01-23 17:49:41
evt-00034608,sess-00928,S-542,pandas_core,answer_submit,pd-sr-confidence-series,B,2026-02-13 18:27:15
evt-00058433,sess-01567,S-159,python_fundamentals,answer_submit,py-sr-experience-oop,C,2026-01-30 10:07:10
evt-00026988,sess-00729,S-735,python_fundamentals,session_start,,,2026-01-11 20:33:00
evt-00013369,sess-00363,S-596,sql_duckdb,option_select,sq-k-agg-d2-01,B,2026-03-16 14:10:40
evt-00056759,sess-01519,S-638,sql_duckdb,answer_submit,sq-k-select-d1-01,B,2026-03-29 20:15:36
evt-00032202,sess-00865,S-410,sql_duckdb,option_select,sq-sr-confidence-select,A,2026-03-30 17:19:17
evt-00011324,sess-00311,S-598,python_fundamentals,option_select,py-sr-experience-ds,A,2026-01-18 12:02:49
evt-00000680,sess-00018,S-201,data_viz,option_select,dv-sr-confidence-design,A,2026-02-22 22:41:18
evt-00041259,sess-01105,S-759,python_fundamentals,question_view,py-sr-confidence-oop,,2026-01-22 13:17:56
evt-00040791,sess-01092,S-392,python_fundamentals,question_view,py-k-ds-d2-02,,2026-01-24 22:24:44
evt-00066143,sess-01774,S-451,data_viz,question_view,dv-k-design-d2-01,,2026-02-22 09:04:14
evt-00011961,sess-00328,S-340,python_fundamentals,option_select,py-sr-confidence-oop,A,2026-01-30 15:26:07
evt-00050790,sess-01358,S-262,sql_duckdb,answer_submit,sq-sr-confidence-joins,A,2026-03-25 21:45:32
evt-00011800,sess-00323,S-407,pandas_core,question_view,pd-k-series-d1-02,,2026-01-24 10:09:12
evt-00001354,sess-00037,S-372,data_viz,answer_submit,dv-sr-confidence-mpl,B,2026-02-21 21:46:43
evt-00017774,sess-00481,S-058,sql_duckdb,question_view,sq-k-agg-d2-01,,2026-03-24 14:11:42
evt-00064790,sess-01740,S-179,pandas_core,question_view,pd-k-groupby-d2-01,,2026-01-27 07:36:54
evt-00049247,sess-01314,S-164,sql_duckdb,session_end,,,2026-03-24 11:12:09
evt-00066930,sess-01798,S-697,python_fundamentals,question_view,py-sr-confidence-ds,,2026-01-29 10:54:21
evt-00045829,sess-01225,S-577,sql_duckdb,answer_submit,sq-k-joins-d2-01,A,2026-03-25 19:38:39
evt-00062645,sess-01682,S-302,python_fundamentals,option_select,py-sr-experience-patterns,D,2026-01-30 20:23:12
evt-00026810,sess-00724,S-219,data_viz,answer_submit,dv-sr-confidence-design,C,2026-02-25 17:14:31
evt-00011824,sess-00325,S-407,python_fundamentals,answer_submit,py-sr-experience-basics,C,2026-01-26 21:34:12
evt-00054417,sess-01459,S-578,data_viz,question_view,dv-sr-confidence-mpl,,2026-02-14 14:47:17
evt-00063924,sess-01717,S-227,pandas_core,question_view,pd-a-groupby-d2-01,,2026-02-06 16:40:55
evt-00041308,sess-01105,S-759,python_fundamentals,answer_submit,py-k-patterns-d3-01,A,2026-01-22 13:25:08
evt-00028673,sess-00774,S-395,data_viz,answer_submit,dv-sr-confidence-mpl,C,2026-02-14 18:59:41
evt-00028626,sess-00773,S-395,python_fundamentals,answer_submit,py-k-basics-d1-01,B,2026-01-22 13:45:20
evt-00019026,sess-00511,S-150,pandas_core,question_view,pd-a-groupby-d2-01,,2026-02-01 03:28:25
evt-00018390,sess-00496,S-272,data_viz,option_select,dv-k-design-d2-01,A,2026-03-03 14:50:22
evt-00010090,sess-00274,S-142,python_fundamentals,answer_submit,py-k-ds-d2-01,D,2026-01-25 17:46:39
evt-00036931,sess-00988,S-713,pandas_core,question_view,pd-sr-confidence-merge,,2026-01-26 19:53:27
evt-00010898,sess-00299,S-248,pandas_core,answer_submit,pd-a-groupby-d2-01,B,2026-02-13 20:32:27
evt-00006939,sess-00193,S-492,python_fundamentals,answer_submit,py-a-patterns-d3-01,C,2026-01-15 15:34:54
evt-00029654,sess-00800,S-069,pandas_core,answer_submit,pd-k-series-d1-02,D,2026-01-24 13:51:36
evt-00047074,sess-01258,S-719,sql_duckdb,answer_submit,sq-sr-confidence-agg,D,2026-03-31 21:33:07
evt-00012079,sess-00332,S-781,python_fundamentals,answer_submit,py-sr-confidence-basics,C,2026-01-29 20:06:37
evt-00025898,sess-00699,S-071,python_fundamentals,option_select,py-k-basics-d1-01,B,2026-01-29 19:20:56
evt-00046048,sess-01232,S-567,pandas_core,question_view,pd-k-merge-d2-01,,2026-02-07 08:54:58
evt-00049624,sess-01326,S-024,python_fundamentals,answer_submit,py-k-basics-d1-03,A,2026-01-27 21:56:53
evt-00047262,sess-01263,S-448,python_fundamentals,question_view,py-sr-confidence-basics,,2026-01-22 13:44:25
evt-00025162,sess-00681,S-337,pandas_core,option_select,pd-k-series-d1-01,D,2026-02-08 11:08:17
evt-00051642,sess-01385,S-788,python_fundamentals,question_view,py-sr-confidence-basics,,2026-01-11 15:38:24
evt-00000145,sess-00004,S-264,python_fundamentals,option_select,py-k-oop-d2-01,C,2026-01-19 07:58:31
evt-00004594,sess-00127,S-795,data_viz,answer_submit,dv-sr-confidence-mpl,D,2026-02-20 14:28:50
evt-00011328,sess-00311,S-598,python_fundamentals,answer_submit,py-sr-confidence-oop,B,2026-01-18 12:03:06
evt-00003770,sess-00101,S-664,python_fundamentals,answer_submit,py-k-patterns-d2-02,D,2026-01-15 15:30:29
evt-00059646,sess-01602,S-505,pandas_core,question_view,pd-sr-confidence-groupby,,2026-02-03 14:26:47
evt-00044040,sess-01177,S-375,pandas_core,answer_submit,pd-k-merge-d2-01,C,2026-02-07 16:34:47
evt-00015104,sess-00409,S-783,python_fundamentals,option_select,py-k-ds-d2-01,B,2026-01-13 18:59:59
evt-00048538,sess-01296,S-652,pandas_core,question_view,pd-sr-confidence-series,,2026-01-25 16:30:06
evt-00053240,sess-01425,S-202,pandas_core,option_select,pd-k-series-d1-01,B,2026-02-02 16:07:04
evt-00054987,sess-01475,S-278,python_fundamentals,option_select,py-sr-confidence-basics,D,2026-01-18 08:12:26
evt-00027400,sess-00740,S-419,python_fundamentals,option_select,py-sr-confidence-basics,C,2026-01-25 08:21:42
evt-00020941,sess-00564,S-417,sql_duckdb,answer_submit,sq-k-joins-d2-01,A,2026-04-02 11:42:44
evt-00021938,sess-00596,S-385,data_viz,option_select,dv-sr-confidence-sns,B,2026-02-20 16:17:39
evt-00054448,sess-01460,S-578,python_fundamentals,answer_submit,py-sr-confidence-basics,A,2026-01-27 08:43:17
evt-00047013,sess-01257,S-719,python_fundamentals,option_select,py-sr-confidence-oop,D,2026-01-16 10:44:00
evt-00059391,sess-01594,S-561,pandas_core,option_select,pd-k-merge-d2-01,A,2026-02-01 21:03:40
evt-00002965,sess-00081,S-477,pandas_core,session_start,,,2026-02-08 10:03:00
evt-00030143,sess-00812,S-151,python_fundamentals,question_view,py-sr-confidence-patterns,,2026-01-30 20:58:32
evt-00014578,sess-00396,S-207,python_fundamentals,answer_submit,py-k-basics-d1-02,D,2026-01-25 13:24:57
evt-00026707,sess-00721,S-388,python_fundamentals,answer_submit,py-k-ds-d2-03,A,2026-01-12 17:29:36
evt-00049267,sess-01315,S-164,data_viz,option_select,dv-k-design-d2-01,C,2026-03-04 09:02:25
evt-00008823,sess-00244,S-006,python_fundamentals,session_start,,,2026-01-10 17:22:00
evt-00034832,sess-00933,S-360,python_fundamentals,option_select,py-k-basics-d1-03,D,2026-01-18 15:13:58
evt-00033383,sess-00895,S-030,python_fundamentals,question_view,py-k-ds-d2-01,,2026-01-17 22:29:28
evt-00005425,sess-00148,S-657,python_fundamentals,answer_submit,py-k-basics-d1-02,A,2026-01-19 13:08:11
evt-00053463,sess-01432,S-178,data_viz,option_select,dv-sr-confidence-design,C,2026-02-26 20:16:59
evt-00036832,sess-00986,S-713,data_viz,answer_submit,dv-sr-confidence-sns,B,2026-03-01 17:17:49
evt-00067529,sess-01813,S-192,data_viz,option_select,dv-k-sns-d2-01,A,2026-02-18 14:53:43
evt-00011697,sess-00321,S-121,python_fundamentals,option_select,py-sr-confidence-oop,A,2026-01-24 15:28:25
evt-00058470,sess-01567,S-159,python_fundamentals,option_select,py-k-patterns-d2-01,B,2026-01-30 10:11:55
evt-00011970,sess-00328,S-340,python_fundamentals,option_select,py-sr-experience-patterns,D,2026-01-30 15:27:09
evt-00015469,sess-00420,S-506,sql_duckdb,question_view,sq-k-joins-d2-01,,2026-03-27 04:52:33
evt-00022328,sess-00606,S-345,python_fundamentals,question_view,py-k-basics-d1-01,,2026-01-19 19:46:28
evt-00036090,sess-00969,S-691,python_fundamentals,answer_submit,py-k-basics-d1-01,B,2026-01-19 17:08:25
evt-00017491,sess-00474,S-775,sql_duckdb,answer_submit,sq-k-select-d1-01,C,2026-03-28 19:59:01
evt-00061373,sess-01649,S-195,data_viz,option_select,dv-sr-confidence-sns,C,2026-02-14 11:26:48
evt-00045464,sess-01213,S-019,python_fundamentals,question_view,py-k-patterns-d2-02,,2026-01-28 09:20:58
evt-00033092,sess-00888,S-705,pandas_core,option_select,pd-sr-confidence-groupby,D,2026-01-28 16:26:21
evt-00007211,sess-00201,S-474,python_fundamentals,answer_submit,py-sr-confidence-oop,B,2026-01-17 09:47:14
evt-00047255,sess-01262,S-677,pandas_core,option_select,pd-k-merge-d2-01,D,2026-02-11 21:38:10
evt-00045065,sess-01204,S-185,sql_duckdb,option_select,sq-k-agg-d2-01,B,2026-03-25 16:22:02
evt-00060371,sess-01620,S-481,python_fundamentals,question_view,py-sr-confidence-patterns,,2026-01-28 19:40:53
evt-00026484,sess-00717,S-323,python_fundamentals,question_view,py-k-basics-d1-02,,2026-01-15 08:34:20
evt-00042627,sess-01141,S-659,python_fundamentals,option_select,py-k-patterns-d2-01,D,2026-01-21 16:37:09
evt-00049259,sess-01315,S-164,data_viz,question_view,dv-k-mpl-d1-01,,2026-03-04 09:01:28
evt-00064420,sess-01730,S-669,python_fundamentals,option_select,py-sr-confidence-oop,B,2026-01-28 16:06:06
evt-00054547,sess-01461,S-579,python_fundamentals,question_view,py-k-basics-d1-03,,2026-01-17 17:06:49
evt-00067951,sess-01825,S-704,python_fundamentals,answer_submit,py-sr-experience-ds,A,2026-01-23 19:32:21
evt-00060747,sess-01631,S-702,pandas_core,question_view,pd-k-groupby-d2-01,,2026-02-12 20:07:14
evt-00060641,sess-01627,S-073,data_viz,question_view,dv-k-sns-d2-01,,2026-03-06 21:29:28
evt-00041880,sess-01122,S-165,python_fundamentals,answer_submit,py-sr-experience-basics,A,2026-01-23 13:37:24
evt-00042476,sess-01137,S-106,python_fundamentals,question_view,py-a-patterns-d3-01,,2026-01-25 17:51:33
evt-00016012,sess-00434,S-515,python_fundamentals,option_select,py-k-ds-d2-02,D,2026-01-14 17:45:15
evt-00008093,sess-00224,S-298,data_viz,option_select,dv-k-design-d2-01,C,2026-02-16 16:51:55
evt-00059834,sess-01606,S-464,data_viz,answer_submit,dv-k-mpl-d1-01,C,2026-02-15 13:35:25
evt-00023392,sess-00632,S-122,python_fundamentals,question_view,py-sr-confidence-ds,,2026-01-30 13:26:05
evt-00038555,sess-01032,S-644,python_fundamentals,option_select,py-sr-confidence-patterns,D,2026-01-27 08:32:18
evt-00050344,sess-01346,S-011,python_fundamentals,option_select,py-sr-confidence-oop,D,2026-01-29 13:50:47
evt-00034753,sess-00932,S-357,python_fundamentals,answer_submit,py-sr-experience-patterns,C,2026-01-12 10:15:46
evt-00043657,sess-01167,S-039,sql_duckdb,question_view,sq-k-agg-d2-01,,2026-03-31 21:19:07
evt-00063523,sess-01706,S-479,pandas_core,question_view,pd-k-series-d1-01,,2026-02-07 14:56:46
evt-00039643,sess-01062,S-586,python_fundamentals,option_select,py-k-ds-d2-01,A,2026-01-21 20:41:29
evt-00031633,sess-00850,S-627,python_fundamentals,option_select,py-k-basics-d1-02,D,2026-01-27 12:18:42
evt-00051963,sess-01392,S-620,python_fundamentals,answer_submit,py-k-patterns-d2-02,C,2026-01-15 14:35:57
evt-00048742,sess-01301,S-692,pandas_core,question_view,pd-k-series-d1-02,,2026-02-11 22:06:47
evt-00000200,sess-00006,S-333,python_fundamentals,option_select,py-sr-confidence-basics,A,2026-01-20 21:12:18
evt-00018475,sess-00498,S-235,python_fundamentals,option_select,py-k-ds-d2-02,C,2026-01-25 16:01:39
evt-00013604,sess-00370,S-649,pandas_core,option_select,pd-k-merge-d2-01,D,2026-01-30 12:22:34
evt-00046578,sess-01246,S-253,pandas_core,session_start,,,2026-01-27 17:27:00
evt-00037999,sess-01017,S-303,python_fundamentals,answer_submit,py-k-basics-d1-03,A,2026-01-23 13:19:52
evt-00053917,sess-01444,S-711,pandas_core,question_view,pd-k-merge-d2-01,,2026-01-30 21:28:28
evt-00037956,sess-01015,S-536,pandas_core,answer_submit,pd-k-groupby-d2-01,D,2026-01-27 09:41:29
evt-00046485,sess-01243,S-153,python_fundamentals,option_select,py-k-ds-d2-02,C,2026-01-27 15:31:37
evt-00025000,sess-00677,S-683,pandas_core,question_view,pd-k-series-d1-02,,2026-01-29 09:37:50
evt-00034387,sess-00921,S-035,sql_duckdb,question_view,sq-sr-confidence-window,,2026-03-29 08:18:16
evt-00042166,sess-01129,S-042,python_fundamentals,question_view,py-k-basics-d1-01,,2026-01-17 21:50:47
evt-00044158,sess-01180,S-147,data_viz,answer_submit,dv-sr-confidence-sns,D,2026-02-26 08:36:43
evt-00043699,sess-01169,S-039,pandas_core,option_select,pd-sr-confidence-series,D,2026-02-12 12:16:26
evt-00008538,sess-00236,S-146,sql_duckdb,session_start,,,2026-03-22 09:59:00
evt-00033903,sess-00908,S-654,data_viz,answer_submit,dv-k-design-d2-01,C,2026-02-19 22:35:35
evt-00006380,sess-00179,S-760,pandas_core,question_view,pd-k-series-d1-02,,2026-01-28 21:08:20
evt-00026442,sess-00716,S-323,data_viz,question_view,dv-k-sns-d2-01,,2026-02-24 21:11:58
evt-00000351,sess-00010,S-673,sql_duckdb,option_select,sq-k-joins-d2-01,A,2026-03-24 17:30:49
evt-00054345,sess-01457,S-578,sql_duckdb,session_start,,,2026-03-19 15:55:00
evt-00013360,sess-00363,S-596,sql_duckdb,question_view,sq-sr-confidence-window,,2026-03-16 14:09:29
evt-00029516,sess-00795,S-290,sql_duckdb,answer_submit,sq-k-window-d3-01,A,2026-03-29 20:51:51
evt-00057980,sess-01553,S-576,sql_duckdb,option_select,sq-k-window-d3-01,C,2026-03-28 17:14:28
evt-00036522,sess-00978,S-718,python_fundamentals,answer_submit,py-k-patterns-d3-01,D,2026-01-27 08:31:40
evt-00053636,sess-01437,S-376,python_fundamentals,question_view,py-a-ds-d2-01,,2026-01-16 19:40:50
evt-00031407,sess-00846,S-446,python_fundamentals,option_select,py-sr-experience-basics,C,2026-01-13 15:32:47
evt-00013765,sess-00374,S-472,sql_duckdb,session_end,,,2026-03-27 18:34:01
evt-00062260,sess-01672,S-124,python_fundamentals,option_select,py-k-basics-d1-01,B,2026-01-25 14:09:22
evt-00034407,sess-00922,S-035,pandas_core,question_view,pd-sr-confidence-series,,2026-01-28 22:21:21
evt-00067715,sess-01816,S-426,python_fundamentals,question_view,py-a-patterns-d3-01,,2026-01-23 13:46:53
evt-00015423,sess-00419,S-506,python_fundamentals,option_select,py-a-ds-d2-01,B,2026-01-20 22:46:15
evt-00024880,sess-00673,S-432,python_fundamentals,option_select,py-sr-experience-patterns,B,2026-01-17 13:59:30
evt-00043380,sess-01161,S-057,python_fundamentals,option_select,py-sr-confidence-oop,C,2026-01-21 10:48:46
evt-00011039,sess-00303,S-156,pandas_core,answer_submit,pd-a-groupby-d2-01,A,2026-02-06 20:50:41
evt-00065639,sess-01761,S-155,python_fundamentals,option_select,py-sr-experience-oop,A,2026-01-12 19:18:05
evt-00008313,sess-00229,S-321,pandas_core,question_view,pd-a-groupby-d2-01,,2026-02-11 22:57:57
evt-00027752,sess-00752,S-338,python_fundamentals,option_select,py-sr-experience-basics,A,2026-01-13 22:41:50
evt-00058640,sess-01572,S-806,python_fundamentals,answer_submit,py-k-patterns-d2-02,A,2026-01-12 15:51:32
evt-00054687,sess-01465,S-528,pandas_core,question_view,pd-k-series-d1-02,,2026-01-30 22:11:51
evt-00041842,sess-01121,S-165,pandas_core,question_view,pd-sr-confidence-series,,2026-02-01 09:17:06
evt-00009724,sess-00266,S-731,pandas_core,option_select,pd-sr-confidence-cleaning,A,2026-01-24 16:32:51
evt-00017733,sess-00480,S-081,python_fundamentals,option_select,py-k-oop-d2-01,B,2026-01-24 16:55:49
evt-00009970,sess-00271,S-433,pandas_core,question_view,pd-sr-confidence-merge,,2026-01-25 22:59:41
evt-00031957,sess-00859,S-427,pandas_core,answer_submit,pd-k-groupby-d2-01,B,2026-01-30 13:22:44
evt-00057361,sess-01536,S-637,data_viz,session_end,,,2026-03-02 11:45:58
evt-00023135,sess-00626,S-603,python_fundamentals,answer_submit,py-sr-confidence-oop,A,2026-01-29 10:37:28
evt-00034896,sess-00934,S-360,data_viz,session_end,,,2026-02-26 16:48:45
evt-00004769,sess-00131,S-450,sql_duckdb,option_select,sq-k-select-d1-01,A,2026-03-19 15:50:53
evt-00059808,sess-01605,S-464,pandas_core,question_view,pd-k-groupby-d2-01,,2026-02-07 11:46:31
evt-00059624,sess-01601,S-505,data_viz,answer_submit,dv-sr-confidence-design,C,2026-02-26 10:56:35
evt-00027898,sess-00755,S-126,pandas_core,question_view,pd-k-series-d1-01,,2026-02-11 16:45:57
evt-00002508,sess-00068,S-404,sql_duckdb,answer_submit,sq-sr-confidence-agg,B,2026-03-17 18:09:03
evt-00038618,sess-01033,S-517,pandas_core,answer_submit,pd-sr-confidence-merge,A,2026-02-03 22:18:06
evt-00054815,sess-01470,S-363,pandas_core,answer_submit,pd-k-cleaning-d2-01,B,2026-02-05 10:41:48
evt-00064373,sess-01728,S-646,pandas_core,session_end,,,2026-02-06 20:32:50
evt-00016879,sess-00457,S-008,python_fundamentals,question_view,py-k-patterns-d2-02,,2026-01-24 09:36:58
evt-00014704,sess-00398,S-814,python_fundamentals,answer_submit,py-k-oop-d2-02,B,2026-01-29 13:37:18
evt-00046663,sess-01248,S-067,data_viz,option_select,dv-a-design-d2-01,C,2026-02-17 07:49:26
evt-00058463,sess-01567,S-159,python_fundamentals,option_select,py-k-oop-d2-01,D,2026-01-30 10:10:55
evt-00030207,sess-00813,S-151,sql_duckdb,option_select,sq-sr-confidence-joins,C,2026-03-26 08:12:12
evt-00017098,sess-00463,S-420,python_fundamentals,answer_submit,py-k-ds-d2-03,C,2026-01-19 16:25:07
evt-00018405,sess-00497,S-272,pandas_core,question_view,pd-sr-confidence-groupby,,2026-01-31 04:27:20
evt-00058450,sess-01567,S-159,python_fundamentals,option_select,py-k-ds-d2-01,B,2026-01-30 10:09:09
evt-00063394,sess-01703,S-607,pandas_core,question_view,pd-sr-confidence-merge,,2026-02-04 04:30:18
evt-00060284,sess-01618,S-143,python_fundamentals,option_select,py-k-basics-d1-03,D,2026-01-26 12:22:31
evt-00028520,sess-00770,S-821,sql_duckdb,option_select,sq-sr-confidence-agg,D,2026-04-02 20:51:13
evt-00042877,sess-01148,S-741,python_fundamentals,option_select,py-sr-experience-oop,D,2026-01-30 11:39:35
evt-00033603,sess-00900,S-594,python_fundamentals,answer_submit,py-sr-confidence-oop,C,2026-01-29 19:45:47
evt-00032871,sess-00882,S-777,python_fundamentals,question_view,py-sr-experience-ds,,2026-01-10 15:00:49
evt-00014726,sess-00399,S-814,sql_duckdb,question_view,sq-sr-confidence-joins,,2026-03-27 20:18:03
evt-00059774,sess-01604,S-505,python_fundamentals,question_view,py-k-patterns-d3-01,,2026-01-22 08:17:53
evt-00043079,sess-01152,S-747,python_fundamentals,answer_submit,py-k-oop-d2-01,B,2026-01-18 20:03:01
evt-00046981,sess-01256,S-719,data_viz,option_select,dv-sr-confidence-design,D,2026-02-26 15:07:15
evt-00062116,sess-01668,S-581,python_fundamentals,option_select,py-k-ds-d2-03,C,2026-01-27 12:56:49
evt-00062455,sess-01677,S-725,python_fundamentals,question_view,py-k-basics-d1-03,,2026-01-20 08:31:05
evt-00048302,sess-01291,S-447,python_fundamentals,option_select,py-sr-experience-ds,B,2026-01-20 22:04:57
evt-00006002,sess-00167,S-548,python_fundamentals,answer_submit,py-k-ds-d2-03,D,2026-01-27 11:45:56
evt-00000142,sess-00004,S-265,python_fundamentals,option_select,py-a-ds-d2-01,C,2026-01-19 07:57:59
evt-00046501,sess-01243,S-153,python_fundamentals,option_select,py-k-oop-d2-02,D,2026-01-27 15:33:07
evt-00026427,sess-00715,S-323,pandas_core,session_end,,,2026-02-07 16:52:32
evt-00039413,sess-01055,S-616,pandas_core,option_select,pd-k-merge-d2-01,B,2026-02-04 16:55:26
evt-00019715,sess-00528,S-018,python_fundamentals,question_view,py-sr-confidence-ds,,2026-01-30 14:21:16
evt-00051431,sess-01376,S-003,python_fundamentals,question_view,py-sr-experience-oop,,2026-01-16 18:18:30
evt-00033538,sess-00898,S-712,data_viz,option_select,dv-sr-confidence-design,B,2026-02-16 12:09:09
evt-00024468,sess-00660,S-224,data_viz,option_select,dv-sr-confidence-mpl,C,2026-02-21 17:22:34
evt-00065359,sess-01753,S-684,data_viz,answer_submit,dv-a-design-d2-01,B,2026-02-23 10:10:19
evt-00052742,sess-01412,S-679,python_fundamentals,answer_submit,py-k-ds-d2-03,B,2026-01-13 14:11:44
evt-00001174,sess-00032,S-086,data_viz,answer_submit,dv-a-design-d2-01,A,2026-02-24 05:43:26
evt-00038175,sess-01023,S-624,sql_duckdb,option_select,sq-k-select-d1-01,A,2026-03-26 22:25:54
evt-00022568,sess-00612,S-782,data_viz,question_view,dv-sr-confidence-sns,,2026-02-25 15:19:29
evt-00019985,sess-00534,S-803,pandas_core,answer_submit,pd-k-series-d1-01,A,2026-01-31 21:46:24
evt-00037520,sess-01004,S-103,python_fundamentals,question_view,py-sr-confidence-oop,,2026-01-27 19:34:17
evt-00025531,sess-00690,S-445,pandas_core,answer_submit,pd-k-groupby-d2-01,C,2026-02-03 23:01:40
evt-00002521,sess-00068,S-404,sql_duckdb,option_select,sq-k-agg-d2-01,A,2026-03-17 18:11:00
evt-00049954,sess-01333,S-346,sql_duckdb,option_select,sq-a-window-d3-01,C,2026-03-15 11:23:30
evt-00064409,sess-01730,S-669,python_fundamentals,question_view,py-sr-experience-basics,,2026-01-28 16:04:37
evt-00015666,sess-00425,S-469,python_fundamentals,answer_submit,py-k-oop-d2-02,D,2026-01-21 21:36:53
evt-00065536,sess-01758,S-237,sql_duckdb,answer_submit,sq-sr-confidence-joins,D,2026-03-23 13:08:52
evt-00059426,sess-01595,S-561,sql_duckdb,answer_submit,sq-k-window-d3-01,C,2026-03-19 08:55:00
evt-00002248,sess-00062,S-284,pandas_core,option_select,pd-k-series-d1-02,C,2026-02-04 15:42:16
evt-00035039,sess-00939,S-297,python_fundamentals,question_view,py-sr-experience-oop,,2026-01-15 05:11:20
evt-00023188,sess-00626,S-603,python_fundamentals,answer_submit,py-a-patterns-d3-01,A,2026-01-29 10:43:50
evt-00009909,sess-00270,S-433,python_fundamentals,question_view,py-sr-experience-patterns,,2026-01-14 08:21:36
evt-00048635,sess-01299,S-692,python_fundamentals,option_select,py-sr-confidence-oop,D,2026-01-13 16:38:24
