student_id,uniqname,cohort,section,program,display_name
S-600,learner600,W2026,2,MHI,Student 600
S-230,learner230,W2025,1,PhD,Student 230
S-760,learner760,F2025,2,BSI,Student 760
S-525,learner525,W2026,2,MSI,Student 525
S-381,learner381,W2026,1,MSI,Student 381
S-095,learner095,F2025,2,PhD,Student 095
S-492,learner492,W2026,2,BSI,Student 492
S-066,learner066,W2026,1,PhD,Student 066
S-380,learner380,W2026,2,MHI,Student 380
S-474,learner474,W2026,2,BSI,Student 474
S-606,learner606,W2026,2,PhD,Student 606
S-568,learner568,W2026,1,PhD,Student 568
S-487,learner487,W2026,2,MSI,Student 487
S-258,learner258,W2026,2,BSI,Student 258
S-744,learner744,F2025,2,PhD,Student 744
S-599,learner599,F2025,1,BSI,Student 599
S-298,learner298,W2026,1,MSI,Student 298
S-321,learner321,W2026,2,PhD,Student 321
S-117,learner117,F2025,1,BSI,Student 117
S-146,learner146,F2025,2,PhD,Student 146
S-784,learner784,W2026,2,PhD,Student 784
S-006,learner006,F2025,1,PhD,Student 006
S-651,learner651,F2025,1,BSI,Student 651
S-054,learner054,W2026,2,BSI,Student 054
S-161,learner161,W2026,1,MHI,Student 161
S-025,learner025,W2026,1,MSI,Student 025
S-727,learner727,F2025,2,PhD,Student 727
S-501,learner501,W2026,2,BSI,Student 501
S-731,learner731,W2026,2,PhD,Student 731
S-433,learner433,W2025,2,MHI,Student 433
S-142,learner142,W2026,2,PhD,Student 142
S-118,learner118,W2025,2,BSI,Student 118
S-437,learner437,F2025,2,MHI,Student 437
S-435,learner435,W2026,1,PhD,Student 435
S-350,learner350,W2026,2,MSI,Student 350
S-031,learner031,W2026,1,PhD,Student 031
S-408,learner408,F2025,3,PhD,Student 408
S-248,learner248,F2025,2,BSI,Student 248
S-156,learner156,F2025,1,MSI,Student 156
S-168,learner168,F2025,3,BSI,Student 168
S-598,learner598,F2025,2,BSI,Student 598
S-824,learner824,W2026,1,PhD,Student 824
S-121,learner121,W2026,2,BSI,Student 121
S-407,learner407,W2026,1,MHI,Student 407
S-436,learner436,W2026,1,MSI,Student 436
S-340,learner340,F2025,2,MSI,Student 340
S-781,learner781,W2026,1,PhD,Student 781
S-306,learner306,W2026,2,PhD,Student 306
S-197,learner197,F2025,3,MHI,Student 197
S-601,learner601,W2026,1,BSI,Student 601
S-176,learner176,W2026,2,MHI,Student 176
S-280,learner280,W2025,2,MSI,Student 280
S-368,learner368,F2025,1,MSI,Student 368
S-547,learner547,W2026,1,BSI,Student 547
S-225,learner225,F2025,2,BSI,Student 225
S-596,learner596,F2025,3,PhD,Student 596
S-614,learner614,W2026,2,MSI,Student 614
S-649,learner649,W2026,2,BSI,Student 649
S-472,learner472,W2026,2,PhD,Student 472
S-444,learner444,F2025,2,MSI,Student 444
S-354,learner354,W2026,1,PhD,Student 354
S-415,learner415,W2026,2,MHI,Student 415
S-730,learner730,W2026,2,PhD,Student 730
S-413,learner413,W2026,1,MSI,Student 413
S-207,learner207,F2025,1,BSI,Student 207
S-814,learner814,W2026,1,BSI,Student 814
S-641,learner641,W2026,1,PhD,Student 641
S-442,learner442,F2025,1,MHI,Student 442
S-783,learner783,W2025,2,BSI,Student 783
S-722,learner722,W2025,2,PhD,Student 722
S-506,learner506,W2025,1,MSI,Student 506
S-811,learner811,W2026,2,PhD,Student 811
S-469,learner469,W2025,1,BSI,Student 469
S-768,learner768,W2026,2,MSI,Student 768
S-070,learner070,W2026,1,MHI,Student 070
S-515,learner515,F2025,1,PhD,Student 515
S-696,learner696,W2026,2,BSI,Student 696
S-615,learner615,W2026,2,MHI,Student 615
S-125,learner125,F2025,3,MHI,Student 125
S-250,learner250,W2026,1,PhD,Student 250
S-431,learner431,F2025,2,MSI,Student 431
S-008,learner008,W2026,2,MHI,Student 008
S-420,learner420,F2025,1,PhD,Student 420
S-093,learner093,F2025,2,BSI,Student 093
S-023,learner023,W2026,1,MHI,Student 023
S-775,learner775,W2026,2,PhD,Student 775
S-081,learner081,F2025,3,MHI,Student 081
S-058,learner058,W2026,2,PhD,Student 058
S-740,learner740,W2025,1,MHI,Student 740
S-454,learner454,W2026,2,PhD,Student 454
S-007,learner007,W2026,1,MSI,Student 007
S-272,learner272,W2026,1,PhD,Student 272
S-235,learner235,W2026,1,MHI,Student 235
S-064,learner064,F2025,2,BSI,Student 064
S-238,learner238,W2025,2,MHI,Student 238
S-150,learner150,F2025,2,MHI,Student 150
S-334,learner334,F2025,2,BSI,Student 334
S-353,learner353,W2026,2,PhD,Student 353
S-041,learner041,W2026,1,PhD,Student 041
S-630,learner630,W2026,2,MSI,Student 630
S-009,learner009,W2026,1,PhD,Student 009
S-018,learner018,W2025,2,MSI,Student 018
S-803,learner803,W2025,1,BSI,Student 803
S-144,learner144,W2026,1,BSI,Student 144
S-279,learner279,W2026,1,BSI,Student 279
S-115,learner115,W2026,2,MSI,Student 115
S-137,learner137,W2026,1,PhD,Student 137
S-512,learner512,F2025,2,MHI,Student 512
S-040,learner040,F2025,1,MSI,Student 040
S-819,learner819,F2025,1,MHI,Student 819
S-203,learner203,W2026,1,BSI,Student 203
S-818,learner818,W2026,2,BSI,Student 818
S-746,learner746,F2025,3,PhD,Student 746
S-417,learner417,F2025,2,PhD,Student 417
S-587,learner587,W2026,2,PhD,Student 587
S-726,learner726,W2026,2,BSI,Student 726
S-314,learner314,W2025,2,MHI,Student 314
S-497,learner497,W2026,2,PhD,Student 497
S-075,learner075,F2025,3,MHI,Student 075
S-541,learner541,F2025,3,MSI,Student 541
S-438,learner438,W2026,1,MSI,Student 438
S-385,learner385,W2026,1,PhD,Student 385
S-509,learner509,W2025,2,MSI,Student 509
S-556,learner556,W2026,1,MHI,Student 556
S-345,learner345,F2025,3,BSI,Student 345
S-686,learner686,W2026,2,MSI,Student 686
S-782,learner782,W2026,2,BSI,Student 782
S-214,learner214,W2026,1,PhD,Student 214
S-543,learner543,W2026,2,BSI,Student 543
S-603,learner603,W2026,1,MHI,Student 603
S-001,learner001,F2025,3,MHI,Student 001
S-122,learner122,W2026,2,MSI,Student 122
S-243,learner243,F2025,1,MSI,Student 243
S-123,learner123,W2025,1,PhD,Student 123
S-222,learner222,F2025,3,PhD,Student 222
S-105,learner105,W2025,2,MHI,Student 105
S-617,learner617,W2026,1,PhD,Student 617
S-082,learner082,W2026,2,PhD,Student 082
S-724,learner724,F2025,3,BSI,Student 724
S-370,learner370,W2026,1,MHI,Student 370
S-224,learner224,W2026,1,MSI,Student 224
S-672,learner672,W2026,2,MHI,Student 672
S-305,learner305,W2025,1,MSI,Student 305
S-432,learner432,F2025,2,PhD,Student 432
S-362,learner362,W2026,2,PhD,Student 362
S-683,learner683,W2026,1,,Student 683
S-337,learner337,W2026,2,PhD,Student 337
S-743,learner743,W2026,1,BSI,Student 743
S-445,learner445,F2025,3,PhD,Student 445
S-301,learner301,W2025,2,MHI,Student 301
S-455,learner455,W2025,1,MSI,Student 455
S-071,learner071,W2026,1,BSI,Student 071
S-585,learner585,W2026,1,PhD,Student 585
S-424,learner424,W2026,1,PhD,Student 424
S-218,learner218,W2025,2,BSI,Student 218
S-752,learner752,F2025,2,MHI,Student 752
S-323,learner323,W2026,1,MSI,Student 323
S-639,learner639,W2026,1,BSI,Student 639
S-388,learner388,W2025,1,PhD,Student 388
S-219,learner219,F2025,1,BSI,Student 219
S-735,learner735,W2026,2,MHI,Student 735
S-462,learner462,F2025,1,PhD,Student 462
S-538,learner538,W2026,2,MSI,Student 538
S-419,learner419,W2026,1,PhD,Student 419
S-020,learner020,W2026,1,PhD,Student 020
S-499,learner499,W2025,1,MSI,Student 499
S-338,learner338,F2025,2,MHI,Student 338
S-126,learner126,W2025,1,PhD,Student 126
S-065,learner065,F2025,2,MHI,Student 065
S-513,learner513,W2025,1,PhD,Student 513
S-135,learner135,W2026,2,BSI,Student 135
S-821,learner821,F2025,2,BSI,Student 821
S-395,learner395,W2026,2,BSI,Student 395
S-102,learner102,F2025,3,PhD,Student 102
S-189,learner189,W2026,1,PhD,Student 189
S-653,learner653,W2025,2,MSI,Student 653
S-756,learner756,F2025,1,PhD,Student 756
S-290,learner290,F2025,1,PhD,Student 290
S-732,learner732,W2026,2,BSI,Student 732
S-069,learner069,W2025,1,MHI,Student 069
S-476,learner476,W2026,2,MHI,Student 476
S-285,learner285,W2025,2,MSI,Student 285
S-554,learner554,F2025,1,PhD,Student 554
S-151,learner151,W2026,1,MHI,Student 151
S-246,learner246,W2026,1,MSI,Student 246
S-004,learner004,W2026,1,MSI,Student 004
S-507,learner507,W2026,2,MSI,Student 507
S-526,learner526,W2025,1,PhD,Student 526
S-184,learner184,W2026,2,MSI,Student 184
S-087,learner087,W2026,2,PhD,Student 087
S-249,learner249,W2026,2,BSI,Student 249
S-374,learner374,W2026,2,MSI,Student 374
S-446,learner446,W2025,1,PhD,Student 446
S-090,learner090,F2025,1,BSI,Student 090
S-627,learner627,W2026,1,MHI,Student 627
S-516,learner516,W2026,1,PhD,Student 516
S-427,learner427,F2025,2,PhD,Student 427
S-410,learner410,W2026,2,BSI,Student 410
S-612,learner612,F2025,3,PhD,Student 612
S-047,learner047,W2026,1,PhD,Student 047
S-139,learner139,W2026,1,PhD,Student 139
S-573,learner573,W2026,1,MHI,Student 573
S-777,learner777,F2025,3,MHI,Student 777
S-705,learner705,W2026,2,MHI,Student 705
S-128,learner128,W2026,2,,Student 128
S-030,learner030,F2025,1,BSI,Student 030
S-712,learner712,W2026,1,MSI,Student 712
S-594,learner594,F2025,3,MHI,Student 594
S-379,learner379,F2025,2,BSI,Student 379
S-654,learner654,W2026,2,PhD,Student 654
S-441,learner441,F2025,1,,Student 441
S-817,learner817,F2025,3,BSI,Student 817
S-035,learner035,W2026,2,MHI,Student 035
S-091,learner091,W2025,2,MHI,Student 091
S-542,learner542,F2025,3,MSI,Student 542
S-357,learner357,W2026,1,PhD,Student 357
S-360,learner360,W2026,1,MSI,Student 360
S-297,learner297,W2026,2,MSI,Student 297
S-111,learner111,W2026,2,MSI,Student 111
S-771,learner771,W2026,2,PhD,Student 771
S-467,learner467,F2025,3,MHI,Student 467
S-084,learner084,F2025,3,PhD,Student 084
S-343,learner343,F2025,3,MHI,Student 343
S-815,learner815,F2025,1,MHI,Student 815
S-625,learner625,W2026,2,PhD,Student 625
S-691,learner691,W2026,1,,Student 691
S-689,learner689,F2025,1,BSI,Student 689
S-318,learner318,W2026,2,MHI,Student 318
S-718,learner718,F2025,1,MHI,Student 718
S-802,learner802,W2025,1,MHI,Student 802
S-241,learner241,W2026,2,MHI,Student 241
S-713,learner713,W2025,2,MSI,Student 713
S-119,learner119,F2025,1,MSI,Student 119
S-530,learner530,F2025,2,PhD,Student 530
S-212,learner212,W2026,2,MSI,Student 212
S-103,learner103,W2026,1,MHI,Student 103
S-349,learner349,F2025,1,MSI,Student 349
S-309,learner309,W2026,1,MHI,Student 309
S-536,learner536,W2025,2,BSI,Student 536
S-303,learner303,F2025,3,MSI,Student 303
S-624,learner624,W2026,2,PhD,Student 624
S-540,learner540,W2026,2,MHI,Student 540
S-341,learner341,F2025,3,BSI,Student 341
S-644,learner644,W2025,1,BSI,Student 644
S-517,learner517,W2026,2,MHI,Student 517
S-389,learner389,W2026,2,MHI,Student 389
S-422,learner422,W2026,2,MHI,Student 422
S-715,learner715,F2025,1,BSI,Student 715
S-050,learner050,F2025,3,BSI,Student 050
S-483,learner483,W2025,1,PhD,Student 483
S-182,learner182,W2026,2,BSI,Student 182
S-616,learner616,W2026,2,MSI,Student 616
S-152,learner152,F2025,1,PhD,Student 152
S-586,learner586,F2025,2,BSI,Student 586
S-823,learner823,W2026,1,BSI,Student 823
S-015,learner015,F2025,2,BSI,Student 015
S-753,learner753,F2025,2,PhD,Student 753
S-315,learner315,F2025,2,PhD,Student 315
S-291,learner291,W2026,2,MSI,Student 291
S-293,learner293,F2025,2,BSI,Student 293
S-281,learner281,W2026,1,MSI,Student 281
S-519,learner519,W2026,2,MSI,Student 519
S-392,learner392,F2025,2,MHI,Student 392
S-583,learner583,W2025,1,BSI,Student 583
S-055,learner055,W2026,1,MHI,Student 055
S-384,learner384,F2025,2,PhD,Student 384
S-759,learner759,W2025,2,BSI,Student 759
S-671,learner671,F2025,1,PhD,Student 671
S-046,learner046,W2026,2,PhD,Student 046
S-662,learner662,W2026,2,MHI,Student 662
S-165,learner165,W2026,2,PhD,Student 165
S-453,learner453,F2025,2,BSI,Student 453
S-042,learner042,W2026,1,BSI,Student 042
S-078,learner078,W2026,1,PhD,Student 078
S-590,learner590,W2025,2,BSI,Student 590
S-106,learner106,W2026,2,MHI,Student 106
S-659,learner659,W2026,2,MSI,Student 659
S-183,learner183,W2025,2,MHI,Student 183
S-741,learner741,W2026,2,MHI,Student 741
S-747,learner747,W2026,2,MHI,Student 747
S-045,learner045,W2026,2,BSI,Student 045
S-057,learner057,W2026,1,PhD,Student 057
S-403,learner403,F2025,2,MSI,Student 403
S-661,learner661,W2026,2,BSI,Student 661
S-039,learner039,W2026,2,PhD,Student 039
S-518,learner518,W2026,1,MHI,Student 518
S-511,learner511,W2026,1,MSI,Student 511
S-375,learner375,W2026,2,MHI,Student 375
S-147,learner147,W2026,2,MSI,Student 147
S-514,learner514,W2026,2,PhD,Student 514
S-461,learner461,W2025,2,MHI,Student 461
S-063,learner063,F2025,3,MHI,Student 063
S-680,learner680,W2026,1,PhD,Student 680
S-762,learner762,W2025,2,PhD,Student 762
S-708,learner708,W2026,2,BSI,Student 708
S-185,learner185,W2026,1,MHI,Student 185
S-549,learner549,W2026,2,MSI,Student 549
S-027,learner027,W2025,2,BSI,Student 027
S-019,learner019,W2026,2,BSI,Student 019
S-316,learner316,F2025,1,BSI,Student 316
S-734,learner734,W2026,2,MHI,Student 734
S-577,learner577,W2025,1,,Student 577
S-356,learner356,F2025,1,MHI,Student 356
S-567,learner567,W2026,2,BSI,Student 567
S-773,learner773,W2026,1,PhD,Student 773
S-394,learner394,W2025,2,MHI,Student 394
S-153,learner153,W2026,1,BSI,Student 153
S-253,learner253,W2026,1,PhD,Student 253
S-067,learner067,W2026,2,BSI,Student 067
S-809,learner809,F2025,1,MHI,Student 809
S-719,learner719,F2025,2,PhD,Student 719
S-677,learner677,F2025,1,PhD,Student 677
S-448,learner448,W2025,2,MHI,Student 448
S-231,learner231,F2025,3,MHI,Student 231
S-326,learner326,F2025,2,PhD,Student 326
S-674,learner674,W2026,2,BSI,Student 674
S-270,learner270,W2026,1,BSI,Student 270
S-532,learner532,W2026,2,MSI,Student 532
S-109,learner109,W2026,2,MHI,Student 109
S-447,learner447,F2025,2,PhD,Student 447
S-652,learner652,W2025,2,PhD,Student 652
S-692,learner692,W2026,1,MSI,Student 692
S-635,learner635,W2026,2,BSI,Student 635
S-632,learner632,F2025,1,BSI,Student 632
S-737,learner737,W2026,1,MHI,Student 737
S-164,learner164,W2026,1,MSI,Student 164
S-621,learner621,W2026,1,MSI,Student 621
S-378,learner378,W2026,2,PhD,Student 378
S-024,learner024,F2025,3,PhD,Student 024
S-764,learner764,W2026,1,MSI,Student 764
S-346,learner346,F2025,2,MSI,Student 346
S-559,learner559,W2026,1,BSI,Student 559
S-339,learner339,W2026,2,MSI,Student 339
S-574,learner574,W2026,1,BSI,Student 574
S-011,learner011,W2026,1,PhD,Student 011
S-682,learner682,W2026,1,MSI,Student 682
S-148,learner148,W2026,2,BSI,Student 148
S-262,learner262,W2026,2,PhD,Student 262
S-051,learner051,F2025,2,MHI,Student 051
S-260,learner260,W2025,1,MSI,Student 260
S-100,learner100,W2026,1,MSI,Student 100
S-216,learner216,W2025,2,PhD,Student 216
S-003,learner003,W2026,1,PhD,Student 003
S-750,learner750,W2026,1,MSI,Student 750
S-593,learner593,W2026,1,BSI,Student 593
S-788,learner788,F2025,2,PhD,Student 788
S-423,learner423,F2025,3,PhD,Student 423
S-793,learner793,F2025,1,MSI,Student 793
S-620,learner620,W2025,2,MHI,Student 620
S-329,learner329,W2026,2,MHI,Student 329
S-633,learner633,W2026,1,PhD,Student 633
S-077,learner077,F2025,1,PhD,Student 077
S-021,learner021,W2026,2,MHI,Student 021
S-695,learner695,W2026,1,MSI,Student 695
S-679,learner679,W2026,1,BSI,Student 679
S-643,learner643,W2026,1,MHI,Student 643
S-097,learner097,W2025,2,BSI,Student 097
S-347,learner347,W2026,1,PhD,Student 347
S-202,learner202,W2026,2,MHI,Student 202
S-178,learner178,F2025,1,MSI,Student 178
S-681,learner681,W2025,2,MSI,Student 681
S-376,learner376,F2025,3,MSI,Student 376
S-602,learner602,F2025,1,MSI,Student 602
S-711,learner711,W2026,1,PhD,Student 711
S-440,learner440,F2025,2,PhD,Student 440
S-194,learner194,W2026,1,BSI,Student 194
S-267,learner267,W2026,1,MSI,Student 267
S-578,learner578,F2025,3,BSI,Student 578
S-579,learner579,F2025,2,MHI,Student 579
S-528,learner528,W2025,2,MHI,Student 528
S-363,learner363,W2026,2,BSI,Student 363
S-278,learner278,F2025,3,MSI,Student 278
S-229,learner229,F2025,2,MHI,Student 229
S-133,learner133,W2025,1,MSI,Student 133
S-107,learner107,W2026,1,BSI,Student 107
S-765,learner765,F2025,3,MSI,Student 765
S-482,learner482,W2026,2,BSI,Student 482
S-609,learner609,W2025,1,PhD,Student 609
S-259,learner259,F2025,2,MHI,Student 259
S-171,learner171,W2026,1,BSI,Student 171
S-640,learner640,W2026,2,MSI,Student 640
S-221,learner221,W2025,1,PhD,Student 221
S-642,learner642,F2025,2,PhD,Student 642
S-565,learner565,W2026,2,MSI,Student 565
S-638,learner638,W2026,2,BSI,Student 638
S-209,learner209,W2025,1,MHI,Student 209
S-113,learner113,W2026,1,PhD,Student 113
S-458,learner458,W2026,1,BSI,Student 458
S-299,learner299,F2025,2,MSI,Student 299
S-808,learner808,F2025,1,MHI,Student 808
S-637,learner637,F2025,3,BSI,Student 637
S-739,learner739,W2026,2,PhD,Student 739
S-295,learner295,W2026,1,BSI,Student 295
S-490,learner490,W2026,2,PhD,Student 490
S-485,learner485,W2026,1,MSI,Student 485
S-576,learner576,W2026,2,PhD,Student 576
S-377,learner377,W2025,1,PhD,Student 377
S-466,learner466,W2026,1,PhD,Student 466
S-159,learner159,W2026,2,MHI,Student 159
S-493,learner493,F2025,2,MHI,Student 493
S-806,learner806,W2025,2,BSI,Student 806
S-245,learner245,F2025,3,MHI,Student 245
S-560,learner560,F2025,2,MHI,Student 560
S-170,learner170,W2026,2,PhD,Student 170
S-355,learner355,W2026,1,PhD,Student 355
S-351,learner351,W2026,1,BSI,Student 351
S-561,learner561,F2025,2,MSI,Student 561
S-371,learner371,W2026,2,PhD,Student 371
S-505,learner505,F2025,3,BSI,Student 505
S-464,learner464,F2025,1,PhD,Student 464
S-060,learner060,W2026,2,BSI,Student 060
S-386,learner386,F2025,3,MSI,Student 386
S-143,learner143,F2025,3,BSI,Student 143
S-481,learner481,W2026,2,PhD,Student 481
S-073,learner073,F2025,2,BSI,Student 073
S-687,learner687,W2026,2,MHI,Student 687
S-703,learner703,F2025,1,PhD,Student 703
S-312,learner312,W2026,2,PhD,Student 312
S-663,learner663,F2025,1,PhD,Student 663
S-188,learner188,W2026,2,,Student 188
S-387,learner387,W2026,2,,Student 387
S-195,learner195,W2025,2,MHI,Student 195
S-757,learner757,W2026,2,PhD,Student 757
S-061,learner061,W2026,2,BSI,Student 061
S-582,learner582,W2026,2,MHI,Student 582
S-792,learner792,W2026,2,PhD,Student 792
S-581,learner581,F2025,3,MHI,Student 581
S-124,learner124,W2026,1,MSI,Student 124
S-725,learner725,F2025,3,MSI,Student 725
S-292,learner292,F2025,1,MHI,Student 292
S-302,learner302,W2026,1,MHI,Student 302
S-268,learner268,W2026,2,MSI,Student 268
S-495,learner495,F2025,1,BSI,Student 495
S-729,learner729,F2025,2,PhD,Student 729
S-701,learner701,F2025,1,MHI,Student 701
S-287,learner287,W2026,2,MSI,Student 287
S-607,learner607,W2026,1,MHI,Student 607
S-479,learner479,W2026,1,PhD,Student 479
S-478,learner478,F2025,1,PhD,Student 478
S-227,learner227,F2025,3,BSI,Student 227
S-130,learner130,W2026,1,MSI,Student 130
S-038,learner038,W2026,2,BSI,Student 038
S-646,learner646,F2025,2,PhD,Student 646
S-669,learner669,W2026,2,MSI,Student 669
S-801,learner801,W2026,1,PhD,Student 801
S-558,learner558,W2026,2,MSI,Student 558
S-179,learner179,W2026,2,MSI,Student 179
S-535,learner535,W2025,1,PhD,Student 535
S-710,learner710,W2025,2,MHI,Student 710
S-684,learner684,F2025,1,PhD,Student 684
S-059,learner059,W2026,1,MSI,Student 059
S-237,learner237,F2025,1,PhD,Student 237
S-428,learner428,W2026,2,PhD,Student 428
S-155,learner155,F2025,1,MSI,Student 155
S-569,learner569,F2025,1,PhD,Student 569
S-751,learner751,F2025,3,MHI,Student 751
S-204,learner204,W2025,1,PhD,Student 204
S-451,learner451,W2026,1,MSI,Student 451
S-398,learner398,F2025,2,MHI,Student 398
S-079,learner079,F2025,1,MSI,Student 079
S-822,learner822,W2026,1,MSI,Student 822
S-044,learner044,W2026,2,PhD,Student 044
S-622,learner622,W2026,1,BSI,Student 622
S-766,learner766,W2025,1,MSI,Student 766
S-697,learner697,F2025,2,MHI,Student 697
S-534,learner534,W2026,1,BSI,Student 534
S-172,learner172,F2025,2,BSI,Student 172
S-390,learner390,F2025,1,BSI,Student 390
S-192,learner192,F2025,2,MSI,Student 192
S-426,learner426,W2026,1,MSI,Student 426
S-277,learner277,W2026,1,MHI,Student 277
S-252,learner252,W2026,2,MSI,Student 252
S-704,learner704,F2025,3,BSI,Student 704
S-273,learner273,W2026,1,BSI,Student 273
